| Name | Kurzname | ID | URL |
| Drunk Baby | drunk_baby | 100944 | [http://i.imgflip.com/25w0.jpg](http://i.imgflip.com/25w0.jpg) |
| Pissed Off Obama | pissed_off_obama | 306319 | [http://i.imgflip.com/6kcv.jpg](http://i.imgflip.com/6kcv.jpg) |
| Confused Gandalf | confused_gandalf | 673439 | [http://i.imgflip.com/efmn.jpg](http://i.imgflip.com/efmn.jpg) |
| Liam Neeson Taken | liam_neeson_taken | 228024 | [http://i.imgflip.com/4vy0.jpg](http://i.imgflip.com/4vy0.jpg) |
| Jack Sparrow Being Chased | jack_sparrow_being_chased | 460541 | [http://i.imgflip.com/9vct.jpg](http://i.imgflip.com/9vct.jpg) |
| Unhelpful High School Teacher | unhelpful_high_school_teacher | 100957 | [http://i.imgflip.com/25wd.jpg](http://i.imgflip.com/25wd.jpg) |
| Buddy Christ | buddy_christ | 17699 | [http://i.imgflip.com/dnn.jpg](http://i.imgflip.com/dnn.jpg) |
| I Know Fuck Me Right | i_know_fuck_me_right | 2182291 | [http://i.imgflip.com/1arv7.jpg](http://i.imgflip.com/1arv7.jpg) |
| Overly Manly Man | overly_manly_man | 247756 | [http://i.imgflip.com/5b64.jpg](http://i.imgflip.com/5b64.jpg) |
| Inception | inception | 156892 | [http://i.imgflip.com/3d24.jpg](http://i.imgflip.com/3d24.jpg) |
| Socially Awesome Awkward Penguin | socially_awesome_awkward_penguin | 61584 | [http://i.imgflip.com/1bio.jpg](http://i.imgflip.com/1bio.jpg) |
| Ron Burgundy | ron_burgundy | 1232147 | [http://i.imgflip.com/qeqb.jpg](http://i.imgflip.com/qeqb.jpg) |
| Angry Baby | angry_baby | 146381 | [http://i.imgflip.com/34y5.jpg](http://i.imgflip.com/34y5.jpg) |
| confession kid | confession_kid | 2141397 | [http://i.imgflip.com/19wb9.jpg](http://i.imgflip.com/19wb9.jpg) |
| Captain Hindsight | captain_hindsight | 101708 | [http://i.imgflip.com/26h8.jpg](http://i.imgflip.com/26h8.jpg) |
| Actual Advice Mallard | actual_advice_mallard | 1356640 | [http://i.imgflip.com/t2sg.jpg](http://i.imgflip.com/t2sg.jpg) |
| Kevin Hart The Hell | kevin_hart_the_hell | 265789 | [http://i.imgflip.com/5p31.jpg](http://i.imgflip.com/5p31.jpg) |
| Keep Calm And Carry On Red | keep_calm_and_carry_on_red | 1202623 | [http://i.imgflip.com/pry7.jpg](http://i.imgflip.com/pry7.jpg) |
| Slowpoke | slowpoke | 61530 | [http://i.imgflip.com/1bh6.jpg](http://i.imgflip.com/1bh6.jpg) |
| Pepperidge Farm Remembers | pepperidge_farm_remembers | 1232104 | [http://i.imgflip.com/qep4.jpg](http://i.imgflip.com/qep4.jpg) |
| Spiderman Peter Parker | spiderman_peter_parker | 107773 | [http://i.imgflip.com/2b5p.jpg](http://i.imgflip.com/2b5p.jpg) |
| Weird Stuff I Do Potoo | weird_stuff_i_do_potoo | 10747721 | [http://i.imgflip.com/6eczt.jpg](http://i.imgflip.com/6eczt.jpg) |
| Impossibru Guy Original | impossibru_guy_original | 307405 | [http://i.imgflip.com/6l71.jpg](http://i.imgflip.com/6l71.jpg) |
| Joseph Ducreux | joseph_ducreux | 61535 | [http://i.imgflip.com/1bhb.jpg](http://i.imgflip.com/1bhb.jpg) |
| Simba Shadowy Place | simba_shadowy_place | 371382 | [http://i.imgflip.com/7yk6.jpg](http://i.imgflip.com/7yk6.jpg) |
| Lion King | lion_king | 206153 | [http://i.imgflip.com/4f2h.jpg](http://i.imgflip.com/4f2h.jpg) |
| Ermahgerd Berks | ermahgerd_berks | 101462 | [http://i.imgflip.com/26ae.jpg](http://i.imgflip.com/26ae.jpg) |
| First Day On The Internet Kid | first_day_on_the_internet_kid | 71851 | [http://i.imgflip.com/1jfv.jpg](http://i.imgflip.com/1jfv.jpg) |
| So I Guess You Can Say Things Are Getting Pretty Serious | so_i_guess_you_can_say_things_are_getting_pretty_serious | 816349 | [http://i.imgflip.com/hhwd.jpg](http://i.imgflip.com/hhwd.jpg) |
| Success Kid Original | success_kid_original | 341570 | [http://i.imgflip.com/7bk2.jpg](http://i.imgflip.com/7bk2.jpg) |
| Gollum | gollum | 681831 | [http://i.imgflip.com/em3r.jpg](http://i.imgflip.com/em3r.jpg) |
| Baby Godfather | baby_godfather | 101704 | [http://i.imgflip.com/26h4.jpg](http://i.imgflip.com/26h4.jpg) |
